customer_id,total_purchases,avg_order_value,days_since_last_purchase,total_spend,rfm_combined,cluster,segment
1502,27,210.46,22,3302.8,0.5392315160083511,2,Loyal Customers
2587,15,53.67,126,1252.06,0.33055851336765035,0,At Risk
2654,12,130.59,114,1768.9,0.3361004137805849,0,At Risk
1056,19,125.14,67,3079.93,0.44786511297959924,2,Loyal Customers
706,36,531.28,7,9369.96,0.7388371569914121,1,Champions
107,37,398.25,19,9470.56,0.7357366713135408,1,Champions
590,55,326.1,25,6115.12,0.757263271586024,1,Champions
2469,28,284.28,48,4010.42,0.5368194748553373,2,Loyal Customers
2414,29,216.48,41,1534.51,0.49377918423987427,2,Loyal Customers
1601,21,101.96,64,3168.93,0.4638924557643885,2,Loyal Customers
2465,18,175.48,62,3888.73,0.464793630623017,2,Loyal Customers
229,52,470.97,23,8945.76,0.8051402421728026,1,Champions
916,57,560.67,29,10717.46,0.8673227116641481,1,Champions
795,52,515.76,3,5711.58,0.7514800378143506,1,Champions
3022,7,126.54,103,1288.06,0.30722420814090873,0,At Risk
3544,7,147.76,117,1448.87,0.29798244961302056,0,At Risk
1074,28,255.17,70,3297.24,0.5008014542647277,2,Loyal Customers
3352,9,136.23,111,1977.69,0.32654504161905157,0,At Risk
1745,29,180.36,41,3150.39,0.5297398675703033,2,Loyal Customers
1085,15,151.38,79,2257.05,0.39596440728192417,2,Loyal Customers
927,57,497.35,2,8340.5,0.8391498096379953,1,Champions
3050,13,76.93,101,876.46,0.3337940420029663,2,Loyal Customers
1118,24,188.73,81,3632.56,0.475591720064346,2,Loyal Customers
643,51,462.38,10,9738.1,0.8290284572382628,1,Champions
4768,5,54.69,276,495.64,0.11986491364887591,3,Lost Customers
502,52,319.61,22,13225.35,0.9012963455739307,1,Champions
4067,1,68.48,324,257.83,0.048017644942416095,0,At Risk
334,47,411.99,23,12562.14,0.8573725665402564,1,Champions
4685,5,34.51,261,371.89,0.13084717674020277,3,Lost Customers
487,31,591.32,26,11404.76,0.7384728617170188,1,Champions
1963,22,219.98,47,1876.46,0.456346599746791,2,Loyal Customers
394,43,341.81,21,14440.42,0.8784054757404897,1,Champions
4843,1,68.48,225,132.9,0.1358967245870338,3,Lost Customers
4867,1,69.07,271,590.94,0.10396565684961805,3,Lost Customers
1756,17,283.39,80,2320.07,0.407750573177403,2,Loyal Customers
2516,18,126.79,166,509.89,0.2943609694120852,0,At Risk
3586,8,141.11,165,1584.23,0.2626884991492719,0,At Risk
4316,5,52.77,305,340.42,0.08985378573769852,3,Lost Customers
4967,6,60.02,312,357.38,0.08947068402086444,3,Lost Customers
2100,20,236.78,63,2761.12,0.4500828608588498,2,Loyal Customers
3600,11,73.2,157,1307.03,0.2807946975729934,0,At Risk
4122,4,38.06,250,329.78,0.1343335801707867,3,Lost Customers
30,50,417.67,22,5834.64,0.7255199803918119,1,Champions
66,43,353.1,15,6006.37,0.6962039881890972,1,Champions
839,58,561.22,23,14848.58,0.9704031540207508,1,Champions
3907,5,74.73,267,426.97,0.1265784518963892,3,Lost Customers
3774,1,76.22,266,559.77,0.10785073708410853,0,At Risk
4636,1,75.08,328,246.06,0.044092705218071744,0,At Risk
3162,15,53.32,170,1404.97,0.2936684164169721,0,At Risk
2660,11,60.56,195,1704.53,0.2548423466642559,0,At Risk
4616,7,42.62,347,271.19,0.061150999761790614,3,Lost Customers
4629,5,43.37,273,313.82,0.11856584399400806,3,Lost Customers
2452,23,291.92,78,1522.73,0.4257359366654973,2,Loyal Customers
2847,7,144.35,123,558.8,0.2726798362070891,0,At Risk
1145,22,120.58,45,4664.67,0.5202284622911773,2,Loyal Customers
3079,18,69.6,110,717.82,0.35027040941415044,0,At Risk
1104,19,278.41,36,2287.17,0.4586108737817753,2,Loyal Customers
169,51,596.99,25,9304.27,0.8056375017865003,1,Champions
1671,28,148.59,37,4987.58,0.568638991657539,2,Loyal Customers
2571,12,148.42,170,713.97,0.26134136936428504,0,At Risk
2378,32,244.26,82,3680.97,0.520951052059338,2,Loyal Customers
4396,7,73.85,282,436.42,0.12435192869216921,3,Lost Customers
4258,7,28.55,276,512.65,0.13154289858395582,3,Lost Customers
3863,4,76.5,263,445.97,0.12501457450792552,0,At Risk
24,53,511.22,27,6842.25,0.7603142861521562,1,Champions
2634,19,85.46,189,935.48,0.28841973008194793,0,At Risk
3341,10,78.54,111,716.45,0.3041264296509925,2,Loyal Customers
2216,15,220.72,33,1567.37,0.42274043090303143,2,Loyal Customers
3683,6,59.67,101,905.22,0.2948860602812549,0,At Risk
4725,2,55.26,301,146.82,0.0722591558493614,3,Lost Customers
1908,17,128.99,34,3715.6,0.48093200839308664,2,Loyal Customers
85,33,362.8,14,13557.37,0.8086666760437536,1,Champions
228,55,310.06,20,7747.32,0.7981659037620794,1,Champions
297,40,352.92,8,10821.99,0.7928345513359378,1,Champions
1002,16,201.78,44,3034.54,0.4509680974447605,2,Loyal Customers
2139,32,123.24,60,1515.2,0.4928993340096162,2,Loyal Customers
712,40,576.25,5,12925.95,0.8424044885027574,1,Champions
2802,8,118.44,150,568.06,0.2538103561351072,0,At Risk
2528,15,75.2,162,1283.0,0.2982800361982283,3,Lost Customers
3753,7,71.01,278,232.35,0.12347344620073031,3,Lost Customers
3322,7,124.79,115,784.82,0.28503581707466114,0,At Risk
3182,12,50.06,173,1237.27,0.270239922980632,0,At Risk
4184,7,65.75,316,213.96,0.08826565021544487,3,Lost Customers
1616,34,122.33,48,1834.4,0.522291432599513,2,Loyal Customers
3025,8,50.85,123,1934.25,0.3089395754349784,2,Loyal Customers
1414,21,156.78,81,1549.71,0.41228967666696886,2,Loyal Customers
764,36,309.48,27,6915.93,0.6659088037051255,1,Champions
656,33,403.76,22,11224.14,0.7494156834669498,1,Champions
4798,6,64.27,203,577.58,0.1941879858944019,3,Lost Customers
3850,2,38.02,264,427.42,0.11238656664906883,0,At Risk
4154,5,75.08,226,588.69,0.16772324537590755,0,At Risk
469,58,497.64,5,7995.66,0.8343780151531495,1,Champions
158,31,334.45,23,5636.41,0.6128480771291471,2,Loyal Customers
1296,27,265.12,87,2405.39,0.45973625017122605,2,Loyal Customers
498,45,323.09,11,5717.76,0.70474354101259,1,Champions
4741,1,73.42,308,291.87,0.0634272044991067,0,At Risk
2941,13,86.63,145,1284.89,0.3025904278385043,0,At Risk
3457,16,117.07,122,1001.84,0.33430270087709263,2,Loyal Customers
374,53,477.09,5,11234.06,0.8781985644598095,1,Champions
80,37,318.32,28,11761.78,0.7784849846490939,1,Champions
